x,y,z
11.4967,9.99114,-8.9008
11.4011,10.0112,-8.71649
12.8071,10.732,-16.0799
12.8021,10.476,-16.0341
12.9086,10.5795,-15.7213
12.2415,10.2201,-11.0282
11.7976,9.99961,-10.9924
11.9644,9.84948,-10.837
11.9644,9.84948,-10.837
11.7976,9.99961,-10.9924
11.7318,9.99446,-10.8748
12.6896,10.4974,-13.9088
12.6105,10.3895,-13.6036
12.6628,10.4263,-14.0075
11.8269,10.2702,-16.7545
11.1551,10.6132,-16.7673
11.4458,10.3175,-16.5567
11.4904,10.179,-10.8564
11.4998,10.1951,-11.0833
11.7318,9.99446,-10.8748
11.4358,10.0201,-8.71649
11.4011,10.0112,-8.71649
11.4967,9.99114,-8.9008
12.4525,10.5221,-13.1419
12.5532,10.3488,-12.8371
12.6896,10.4974,-13.9088
12.8554,10.5335,-15.255
12.7784,10.6628,-15.2171
12.8209,10.537,-15.5918
12.3604,9.96001,-15.6177
12.3977,10.115,-15.6026
12.4052,10.0932,-15.1477
12.6236,10.3232,-15.6514
12.3066,10.0122,-15.7397
12.3977,10.115,-15.6026
11.7714,10.457,-9.07242
11.7947,10.3617,-9.07932
11.662,10.3279,-9.14567
12.2916,11.1196,-15.5761
12.2506,11.1601,-15.5861
12.2093,11.0881,-15.6067
12.155,11.0312,-14.6018
12.1943,11.0282,-14.5766
12.1969,11.0515,-14.587
12.0981,9.91021,-13.1265
12.084,9.83907,-12.7184
11.8533,10.1066,-12.7536
12.7463,11.2096,-16.6119
12.8821,10.5408,-16.6073
12.9896,10.7516,-16.5804
11.6941,10.4733,-14.8216
11.6927,10.4517,-14.837
11.6491,10.4417,-14.611
11.9644,9.84948,-10.837
11.9398,9.81341,-11.0636
12.3256,10.2215,-10.9912
12.7784,10.6628,-15.2171
12.8554,10.5335,-15.255
12.6987,10.5241,-14.8245
13.8617,10.6402,-16.5101
13.1034,10.5474,-16.594
13.0044,10.0849,-16.5568
11.9398,9.81341,-11.0636
11.7976,9.99961,-10.9924
12.2415,10.2201,-11.0282
12.6628,10.4263,-14.0075
12.6198,10.4547,-13.6952
12.5481,10.6014,-14.1175
12.8021,10.476,-16.0341
12.8071,10.732,-16.0799
12.9896,10.7516,-16.5804
13.0306,9.72009,-16.6485
13.6214,9.87837,-16.5331
13.0044,10.0849,-16.5568
11.3662,9.99331,-16.7509
11.5479,9.96653,-16.4223
11.0019,10.5401,-16.5564
12.9896,10.7516,-16.5804
12.8071,10.732,-16.0799
13.1034,10.5474,-16.594
11.9007,10.5966,-10.9776
11.4998,10.1951,-11.0833
11.4904,10.179,-10.8564
12.7463,11.2096,-16.6119
12.9323,12.061,-16.491
12.287,11.4786,-16.6336
12.8209,10.537,-15.5918
12.9086,10.5795,-15.7213
12.8554,10.5335,-15.255
11.466,10.1469,-9.06824
11.3918,10.0333,-8.71649
11.4358,10.0201,-8.71649
12.3805,10.0985,-16.5571
12.4069,10.0067,-16.2123
12.5243,10.0315,-16.6638
11.662,10.3279,-9.14567
11.7947,10.3617,-9.07932
11.6746,10.4117,-9.08453
12.4689,10.306,-16.6995
12.7463,11.2096,-16.6119
11.9417,10.8242,-16.7425
11.8269,10.2702,-16.7545
